DATAFLOW,freq,indic_bt,nace_r2,s_adj,unit,Country,Date,Num,OBS_FLAG
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-08,100.8,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-09,110.8,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-10,101,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-11,107.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2020-12,109.6,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2021-01,106.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2021-02,108.9,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,EL,2021-03,115.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2019-08,85.3,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2019-09,107.3,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2019-10,110.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2019-11,110.8,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2019-12,96,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-01,102.4,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-02,103.7,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-03,95.8,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-04,67.9,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-05,84.5,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-06,94.3,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-07,103.8,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,ES,2020-08,80,p
